epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5270,0.4448,0.8575,0.8575,3.33e-05
2,0.2917,0.4372,0.8475,0.8475,6.67e-05
3,0.2877,0.4379,0.8475,0.8473,1.00e-04
4,0.2879,0.4404,0.8500,0.8499,9.97e-05
5,0.2903,0.4380,0.8500,0.8498,9.87e-05
6,0.2880,0.4407,0.8475,0.8475,9.70e-05
7,0.2838,0.4365,0.8500,0.8499,9.47e-05
8,0.2869,0.4545,0.8550,0.8547,9.18e-05
9,0.2870,0.4391,0.8525,0.8524,8.83e-05
10,0.2888,0.4323,0.8525,0.8524,8.43e-05
11,0.2870,0.4375,0.8525,0.8524,7.99e-05
12,0.2893,0.4358,0.8500,0.8499,7.50e-05
13,0.2871,0.4327,0.8525,0.8524,6.98e-05
14,0.2850,0.4428,0.8525,0.8524,6.43e-05
15,0.2871,0.4401,0.8500,0.8499,5.87e-05
16,0.2880,0.4345,0.8525,0.8524,5.29e-05
17,0.2858,0.4318,0.8500,0.8499,4.71e-05
18,0.2865,0.4398,0.8450,0.8450,4.13e-05
19,0.2886,0.4370,0.8525,0.8524,3.57e-05
20,0.2873,0.4386,0.8525,0.8524,3.02e-05
21,0.2866,0.4409,0.8525,0.8524,2.50e-05
22,0.2862,0.4369,0.8525,0.8524,2.01e-05
23,0.2864,0.4365,0.8525,0.8524,1.57e-05
24,0.2877,0.4392,0.8525,0.8524,1.17e-05
25,0.2848,0.4385,0.8525,0.8524,8.23e-06
26,0.2870,0.4388,0.8525,0.8524,5.32e-06
27,0.2870,0.4378,0.8525,0.8524,3.02e-06
28,0.2829,0.4385,0.8525,0.8524,1.35e-06
29,0.2844,0.4384,0.8525,0.8524,3.38e-07
30,0.2864,0.4385,0.8525,0.8524,0.00e+00
