epoch,train_loss,val_loss,val_acc,val_f1
1,0.1443,0.4991,0.8525,0.8523
2,0.1313,0.4706,0.8625,0.8624
3,0.1275,0.4729,0.8525,0.8523
4,0.1315,0.4856,0.8525,0.8523
5,0.1323,0.4322,0.8525,0.8523
6,0.1304,0.4925,0.8525,0.8523
7,0.1328,0.4398,0.8525,0.8523
8,0.1322,0.4284,0.8575,0.8573
9,0.1297,0.4535,0.8525,0.8523
10,0.1294,0.4468,0.8550,0.8549
11,0.1317,0.4738,0.8525,0.8523
12,0.1312,0.4627,0.8525,0.8523
13,0.1293,0.4710,0.8525,0.8523
14,0.1300,0.4796,0.8525,0.8523
15,0.1286,0.4815,0.8525,0.8523
16,0.1327,0.4420,0.8525,0.8523
17,0.1322,0.5247,0.8525,0.8523
18,0.1319,0.4598,0.8525,0.8523
19,0.1285,0.4666,0.8525,0.8523
20,0.1282,0.4435,0.8525,0.8523
21,0.1291,0.4706,0.8525,0.8523
22,0.1304,0.4528,0.8525,0.8523
23,0.1297,0.4407,0.8525,0.8523
24,0.1283,0.4814,0.8525,0.8523
25,0.1288,0.5267,0.8525,0.8523
26,0.1257,0.4552,0.8525,0.8523
27,0.1291,0.4446,0.8525,0.8523
28,0.1313,0.4618,0.8525,0.8523
29,0.1281,0.4866,0.8550,0.8549
30,0.1321,0.4573,0.8550,0.8549
