epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4954,0.4684,0.8575,0.8575,3.33e-05
2,0.2853,0.4526,0.8475,0.8475,6.67e-05
3,0.2847,0.4402,0.8450,0.8450,1.00e-04
4,0.2846,0.4544,0.8550,0.8550,9.97e-05
5,0.2817,0.4566,0.8500,0.8500,9.87e-05
6,0.2831,0.4678,0.8550,0.8550,9.70e-05
7,0.2848,0.4504,0.8525,0.8525,9.47e-05
8,0.2853,0.4555,0.8500,0.8500,9.18e-05
9,0.2842,0.4614,0.8475,0.8475,8.83e-05
10,0.2821,0.4584,0.8475,0.8475,8.43e-05
11,0.2856,0.4675,0.8525,0.8525,7.99e-05
12,0.2803,0.4526,0.8525,0.8525,7.50e-05
13,0.2835,0.4493,0.8525,0.8525,6.98e-05
14,0.2824,0.4582,0.8575,0.8575,6.43e-05
15,0.2845,0.4457,0.8500,0.8500,5.87e-05
16,0.2836,0.4514,0.8525,0.8525,5.29e-05
17,0.2843,0.4536,0.8525,0.8525,4.71e-05
18,0.2839,0.4546,0.8525,0.8525,4.13e-05
19,0.2840,0.4483,0.8525,0.8525,3.57e-05
20,0.2816,0.4444,0.8475,0.8475,3.02e-05
21,0.2845,0.4525,0.8450,0.8450,2.50e-05
22,0.2809,0.4564,0.8525,0.8525,2.01e-05
23,0.2822,0.4518,0.8525,0.8525,1.57e-05
24,0.2816,0.4504,0.8525,0.8525,1.17e-05
25,0.2834,0.4522,0.8525,0.8525,8.23e-06
26,0.2823,0.4522,0.8500,0.8500,5.32e-06
27,0.2817,0.4517,0.8500,0.8500,3.02e-06
28,0.2809,0.4532,0.8500,0.8500,1.35e-06
29,0.2822,0.4524,0.8500,0.8500,3.38e-07
30,0.2814,0.4524,0.8500,0.8500,0.00e+00
