epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.3721,0.4919,0.8475,0.8475,3.33e-05
2,0.2771,0.5013,0.8350,0.8347,6.67e-05
3,0.2728,0.5273,0.8350,0.8347,1.00e-04
4,0.2768,0.5008,0.8425,0.8424,9.97e-05
5,0.2751,0.4990,0.8350,0.8347,9.87e-05
6,0.2754,0.4875,0.8375,0.8373,9.70e-05
7,0.2761,0.4947,0.8425,0.8424,9.47e-05
8,0.2750,0.5119,0.8425,0.8424,9.18e-05
9,0.2742,0.4955,0.8375,0.8373,8.83e-05
10,0.2736,0.4945,0.8350,0.8347,8.43e-05
11,0.2759,0.5068,0.8400,0.8399,7.99e-05
12,0.2740,0.4932,0.8400,0.8399,7.50e-05
13,0.2721,0.4900,0.8350,0.8347,6.98e-05
14,0.2713,0.5048,0.8350,0.8347,6.43e-05
15,0.2748,0.5011,0.8400,0.8399,5.87e-05
16,0.2732,0.4984,0.8375,0.8373,5.29e-05
17,0.2722,0.5138,0.8400,0.8398,4.71e-05
18,0.2741,0.4961,0.8350,0.8347,4.13e-05
19,0.2765,0.5026,0.8350,0.8347,3.57e-05
20,0.2733,0.4915,0.8375,0.8373,3.02e-05
21,0.2743,0.4904,0.8350,0.8347,2.50e-05
22,0.2717,0.4985,0.8375,0.8373,2.01e-05
23,0.2713,0.4972,0.8375,0.8373,1.57e-05
24,0.2709,0.4999,0.8350,0.8347,1.17e-05
25,0.2725,0.4983,0.8350,0.8347,8.23e-06
26,0.2710,0.5004,0.8350,0.8347,5.32e-06
27,0.2715,0.5011,0.8375,0.8373,3.02e-06
28,0.2739,0.4992,0.8375,0.8373,1.35e-06
29,0.2745,0.4989,0.8375,0.8373,3.38e-07
30,0.2743,0.4990,0.8375,0.8373,0.00e+00
