epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4425,0.4170,0.8600,0.8600,2.50e-06
2,0.4501,0.4191,0.8600,0.8600,5.00e-06
3,0.4439,0.4158,0.8575,0.8575,4.96e-06
4,0.4466,0.4166,0.8550,0.8550,4.85e-06
5,0.4444,0.4143,0.8575,0.8575,4.67e-06
6,0.4496,0.4140,0.8575,0.8575,4.42e-06
7,0.4437,0.4243,0.8600,0.8600,4.11e-06
8,0.4419,0.4379,0.8575,0.8575,3.75e-06
9,0.4510,0.4151,0.8600,0.8600,3.36e-06
10,0.4451,0.4216,0.8600,0.8600,2.93e-06
11,0.4437,0.4156,0.8600,0.8600,2.50e-06
12,0.4434,0.4168,0.8575,0.8575,2.07e-06
13,0.4435,0.4156,0.8575,0.8575,1.64e-06
14,0.4455,0.4160,0.8575,0.8575,1.25e-06
15,0.4423,0.4156,0.8600,0.8600,8.93e-07
16,0.4413,0.4155,0.8575,0.8575,5.85e-07
17,0.4462,0.4156,0.8575,0.8575,3.35e-07
18,0.4481,0.4154,0.8600,0.8600,1.51e-07
19,0.4468,0.4154,0.8575,0.8575,3.80e-08
20,0.4455,0.4154,0.8575,0.8575,0.00e+00
