epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2720,0.4338,0.8575,0.8575,1.34e-06
2,0.2701,0.4416,0.8550,0.8549,1.99e-06
3,0.2676,0.4338,0.8550,0.8550,1.94e-06
4,0.2701,0.4345,0.8575,0.8575,1.84e-06
5,0.2715,0.4368,0.8550,0.8549,1.69e-06
6,0.2691,0.4441,0.8550,0.8549,1.50e-06
7,0.2703,0.4324,0.8575,0.8575,1.29e-06
8,0.2681,0.4337,0.8550,0.8549,1.06e-06
9,0.2732,0.4315,0.8575,0.8575,8.26e-07
10,0.2695,0.4358,0.8600,0.8600,6.04e-07
11,0.2705,0.4386,0.8600,0.8600,4.03e-07
12,0.2705,0.4374,0.8600,0.8600,2.34e-07
13,0.2695,0.4352,0.8600,0.8600,1.06e-07
14,0.2712,0.4354,0.8575,0.8575,2.69e-08
15,0.2692,0.4353,0.8575,0.8575,0.00e+00
