epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.5970,0.4379,0.8575,0.8575,5.00e-05
2,0.4667,0.4209,0.8525,0.8525,1.00e-04
3,0.4447,0.4179,0.8500,0.8499,9.92e-05
4,0.4489,0.4175,0.8500,0.8499,9.70e-05
5,0.4495,0.4176,0.8575,0.8575,9.33e-05
6,0.4442,0.4159,0.8550,0.8549,8.83e-05
7,0.4493,0.4160,0.8575,0.8575,8.21e-05
8,0.4443,0.4160,0.8600,0.8600,7.50e-05
9,0.4479,0.4205,0.8600,0.8600,6.71e-05
10,0.4429,0.4173,0.8600,0.8600,5.87e-05
11,0.4451,0.4151,0.8500,0.8500,5.00e-05
12,0.4480,0.4168,0.8575,0.8575,4.13e-05
13,0.4459,0.4153,0.8575,0.8575,3.29e-05
14,0.4435,0.4162,0.8575,0.8575,2.50e-05
15,0.4453,0.4167,0.8575,0.8575,1.79e-05
16,0.4425,0.4166,0.8575,0.8575,1.17e-05
17,0.4398,0.4166,0.8575,0.8575,6.70e-06
18,0.4418,0.4164,0.8575,0.8575,3.02e-06
19,0.4482,0.4162,0.8575,0.8575,7.60e-07
20,0.4472,0.4162,0.8575,0.8575,0.00e+00
