epoch,train_loss,val_loss,val_acc,val_f1
1,0.1607,0.4803,0.8600,0.8599
2,0.1480,0.4307,0.8600,0.8600
3,0.1449,0.4739,0.8550,0.8550
4,0.1524,0.4330,0.8600,0.8599
5,0.1471,0.4805,0.8550,0.8550
6,0.1476,0.4248,0.8550,0.8548
7,0.1458,0.4138,0.8600,0.8599
8,0.1485,0.4451,0.8575,0.8575
9,0.1496,0.4472,0.8575,0.8575
10,0.1461,0.4339,0.8600,0.8599
11,0.1452,0.4397,0.8600,0.8599
12,0.1477,0.4295,0.8525,0.8523
13,0.1436,0.4681,0.8550,0.8550
14,0.1514,0.4379,0.8600,0.8599
15,0.1479,0.4634,0.8575,0.8575
16,0.1472,0.4467,0.8550,0.8550
17,0.1461,0.4338,0.8550,0.8548
18,0.1462,0.4506,0.8550,0.8550
19,0.1481,0.4339,0.8600,0.8599
20,0.1471,0.4473,0.8600,0.8599
21,0.1443,0.4521,0.8550,0.8550
22,0.1475,0.4614,0.8575,0.8575
23,0.1466,0.4579,0.8550,0.8550
24,0.1473,0.4485,0.8575,0.8575
25,0.1470,0.4686,0.8550,0.8550
26,0.1469,0.4376,0.8575,0.8575
27,0.1507,0.4706,0.8575,0.8575
28,0.1484,0.4629,0.8550,0.8550
29,0.1454,0.4806,0.8550,0.8550
30,0.1431,0.4639,0.8575,0.8575
